ID,Name,Image,Refrigerated,Frozen
VEG30,Hành tây,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG31,Hành tím,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG32,Hành tím băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG33,Hạt điều,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG34,Hạt nêm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI27,Hạt nêm chay,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI28,Hạt nêm CHIN-SU,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI29,Hạt nêm Maggi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG35,Hạt sen tươi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
VEG36,Hạt tiêu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG37,Hẹ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG38,Hoa hồi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG39,Hoa quế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG40,Húng lũi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG41,Húng quế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG42,Khế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG43,Khổ qua,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG44,Lá chanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG45,Lá giang,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG46,Lá hương thảo,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
MEA06,Lòng heo,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
SPI30,Mắm ruốc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI31,Mắm tôm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG47,Măng tươi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
SPI32,Mật mía,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI33,Mật ong,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG48,Me,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
