ID,Name,Image,Refrigerated,Frozen
VEG25,Gừng băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
VEG27,Hành boa rô,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG28,Hành lá,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG29,Hành lá băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG30,Hành tây,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG31,Hành tím,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG32,Hành tím băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG33,Hạt điều,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG34,Hạt nêm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI27,Hạt nêm chay,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI28,Hạt nêm CHIN-SU,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI29,Hạt nêm Maggi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG35,Hạt sen tươi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
VEG36,Hạt tiêu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG37,Hẹ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG38,Hoa hồi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG39,Hoa quế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG40,Húng lũi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG41,Húng quế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG42,Khế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG43,Khổ qua,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG44,Lá chanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
